13478652 1 -16 156 -1220 8479 -54351 | 40319 362815 3626194 39832594 476575529 6161472224
14387562 1 -16 156 -1220 8479 -54400 | 40319 362815 3626194 39832594 476575529 6161472273
13485267 1 -16 158 -1280 9507 -68320 | 40319 362815 3626192 39832412 476565717 6161060989
34172856 1 -16 158 -1280 9507 -67527 | 40319 362815 3626192 39832412 476565717 6161060196
13485627 1 -16 158 -1278 9409 -65100 | 40319 362815 3626192 39832410 476565527 6161049995
13875426 1 -16 158 -1278 9409 -65435 | 40319 362815 3626192 39832410 476565527 6161050330
13485672 1 -16 156 -1221 8485 -53457 | 40319 362815 3626194 39832595 476575667 6161482484
14856732 1 -16 156 -1221 8485 -53335 | 40319 362815 3626194 39832595 476575667 6161482362
13486257 1 -16 159 -1307 9855 -69859 | 40319 362815 3626191 39832318 476560545 6160841476
14837625 1 -16 159 -1307 9855 -69823 | 40319 362815 3626191 39832318 476560545 6160841440
13486527 1 -16 158 -1275 9286 -62412 | 40319 362815 3626192 39832407 476565218 6161031590
14865327 1 -16 158 -1275 9286 -62536 | 40319 362815 3626192 39832407 476565218 6161031714
13486752 1 -16 156 -1222 8555 -56049 | 40319 362815 3626194 39832596 476575741 6161485414
25678143 1 -16 156 -1222 8555 -55664 | 40319 362815 3626194 39832596 476575741 6161485029
13487562 1 -16 156 -1220 8467 -53711 | 40319 362815 3626194 39832594 476575541 6161473612
14875623 1 -16 156 -1220 8467 -53724 | 40319 362815 3626194 39832594 476575541 6161473625
14875632 1 -16 156 -1220 8467 -53758 | 40319 362815 3626194 39832594 476575541 6161473659
13528674 1 -16 158 -1284 9658 -71841 | 40319 362815 3626192 39832416 476566142 6161087663
13754628 1 -16 158 -1284 9658 -71572 | 40319 362815 3626192 39832416 476566142 6161087394
13542786 1 -16 156 -1228 8789 -61549 | 40319 362815 3626194 39832602 476576371 6161524376
15764328 1 -16 156 -1228 8789 -61591 | 40319 362815 3626194 39832602 476576371 6161524418
13546827 1 -16 157 -1253 9126 -64786 | 40319 362815 3626193 39832506 476570922 6161284084
25876413 1 -16 157 -1253 9126 -64121 | 40319 362815 3626193 39832506 476570922 6161283419
27658413 1 -16 157 -1253 9126 -64031 | 40319 362815 3626193 39832506 476570922 6161283329
13547862 1 -16 156 -1224 8652 -58804 | 40319 362815 3626194 39832598 476575932 6161496112
13548672 1 -16 156 -1224 8652 -58803 | 40319 362815 3626194 39832598 476575932 6161496111
13548267 1 -16 157 -1241 8594 -51745 | 40319 362815 3626193 39832494 476569726 6161214935
14527683 1 -16 157 -1241 8594 -51528 | 40319 362815 3626193 39832494 476569726 6161214718
13548762 1 -16 155 -1193 8099 -51278 | 40319 362815 3626195 39832688 476580733 6161695611
13654872 1 -16 155 -1193 8099 -51260 | 40319 362815 3626195 39832688 476580733 6161695593
13562784 1 -16 158 -1282 9605 -70921 | 40319 362815 3626192 39832414 476565907 6161071364
24813765 1 -16 158 -1282 9605 -70771 | 40319 362815 3626192 39832414 476565907 6161071214
13568472 1 -16 159 -1324 10578 -87018 | 40319 362815 3626191 39832335 476562270 6160943304
13745862 1 -16 159 -1324 10578 -86945 | 40319 362815 3626191 39832335 476562270 6160943231
13568724 1 -16 157 -1255 9235 -67738 | 40319 362815 3626193 39832508 476571101 6161292951
13856724 1 -16 157 -1255 9235 -68152 | 40319 362815 3626193 39832508 476571101 6161293365
13568742 1 -16 157 -1255 9197 -65847 | 40319 362815 3626193 39832508 476571139 6161297482
14857623 1 -16 157 -1255 9197 -65842 | 40319 362815 3626193 39832508 476571139 6161297477
13576284 1 -16 158 -1279 9516 -69858 | 40319 362815 3626192 39832411 476565564 6161048838
13657284 1 -16 158 -1279 9516 -69902 | 40319 362815 3626192 39832411 476565564 6161048882
13582674 1 -16 159 -1302 9665 -66168 | 40319 362815 3626191 39832313 476560015 6160809055
14683275 1 -16 159 -1302 9665 -65994 | 40319 362815 3626191 39832313 476560015 6160808881
