class_id,size,representative,c8,c9,c10,c11,c12,c13,c14,Av8,Av9,Av10,Av11,Av12,Av13,Av14,cutoff
2573,8,23678415,1,-16,157,-1246,8887,,,40319,362815,3626193,39832499,476570153,,,12
2574,8,23678514,1,-16,156,-1213,8249,-50498,,40319,362815,3626194,39832587,476574751,6161422065,,13
2575,8,23681457,1,-16,158,-1270,9149,,,40319,362815,3626192,39832402,476564635,,,12
2576,8,23681475,1,-16,159,-1303,9772,,,40319,362815,3626191,39832314,476560052,,,12
2577,8,23681547,1,-16,158,-1266,8960,,,40319,362815,3626192,39832398,476564248,,,12
2578,8,23681574,1,-16,159,-1306,9918,-74238,,40319,362815,3626191,39832317,476560338,6160823040,,13
2579,8,23681745,1,-16,158,-1273,9328,,,40319,362815,3626192,39832405,476564888,,,12
2580,8,23681754,1,-16,158,-1273,9300,,,40319,362815,3626192,39832405,476564916,,,12
2581,8,23684157,1,-16,159,-1303,9764,-69626,,40319,362815,3626191,39832314,476560060,6160807950,,13
2582,8,23684175,1,-16,159,-1297,9506,,,40319,362815,3626191,39832308,476559454,,,12
2583,8,23684517,1,-16,158,-1272,9198,,,40319,362815,3626192,39832404,476564874,,,12
2584,8,23684715,1,-16,159,-1306,9838,-69950,,40319,362815,3626191,39832317,476560418,6160832272,,13
2585,8,23685147,1,-16,159,-1301,9679,,,40319,362815,3626191,39832312,476559857,,,12
2586,8,23685174,1,-16,159,-1302,9739,,,40319,362815,3626191,39832313,476559941,,,12
2587,8,23685417,1,-16,158,-1274,9282,,,40319,362815,3626192,39832406,476565078,,,12
2588,8,23685714,1,-16,157,-1245,8865,-60585,,40319,362815,3626193,39832498,476570031,6161226648,,13
2589,8,23687145,1,-16,156,-1206,8010,-46635,,40319,362815,3626194,39832580,476573982,6161373417,,13
2590,8,23687154,1,-16,156,-1206,8006,,,40319,362815,3626194,39832580,476573986,,,12
2591,8,23687415,1,-16,157,-1237,8507,,,40319,362815,3626193,39832490,476569237,,,12
