class_id,pattern,lex_rank,representative,representative_rank,class_size
2949,42617583,16215,24638175,6883,8
4508,42617835,16216,34618275,11899,8
4510,42617853,16217,34628175,11923,8
2940,42618357,16218,24618375,6859,8
4739,42618375,16219,42618375,16219,2
3631,42618537,16220,26418375,8179,8
4721,42618573,16221,37581624,14140,8
4740,42618735,16222,42618735,16222,8
4607,42618753,16223,35781624,12820,8
155,42631578,16224,12486375,229,16
155,42631587,16225,12486375,229,16
645,42631758,16226,13628574,1101,8
2541,42631785,16227,23618574,6141,8
2821,42631857,16228,24186375,6589,8
4361,42631875,16229,32618574,11181,8
261,42635178,16230,12648573,405,16
261,42635187,16231,12648573,405,16
664,42635718,16232,13648572,1125,8
2222,42635781,16233,17584632,4073,8
4138,42635817,16234,27584613,9112,8
2221,42635871,16235,17584623,4072,8
1162,42637158,16236,14628573,1821,8
2942,42637185,16237,24618573,6861,8
1179,42637518,16238,14638572,1845,8
2218,42637581,16239,17583642,4067,8
4130,42637815,16240,27581643,9101,8
1814,42637851,16241,15873624,2866,8
3072,42638157,16242,24816375,7093,8
4721,42638175,16243,37581624,14140,8
4134,42638517,16244,27583614,9106,8
2217,42638571,16245,17583624,4066,4
4129,42638715,16246,27581634,9100,8
1737,42638751,16247,15783624,2746,8
276,42651378,16248,12658374,427,16
276,42651387,16249,12658374,427,16
682,42651738,16250,13658274,1147,8
2560,42651783,16251,23658174,6187,8
3569,42651837,16252,26184375,8023,8
4366,42651873,16253,32658174,11227,8
278,42653178,16254,12658473,429,16
278,42653187,16255,12658473,429,16
684,42653718,16256,13658472,1149,8
2183,42653781,16257,17485632,3953,8
4081,42653817,16258,27485613,8992,8
2182,42653871,16259,17485623,3952,8
1195,42657138,16260,14658273,1867,8
2958,42657183,16261,24658173,6907,8
1197,42657318,16262,14658372,1869,8
2139,42657381,16263,17385642,3833,8
3953,42657813,16264,27185643,8753,8
963,42657831,16265,13875624,1432,8
3789,42658137,16266,26814375,8527,8
4690,42658173,16267,37185624,13792,4
4020,42658317,16268,27385614,8872,8
2138,42658371,16269,17385624,3832,4
3952,42658713,16270,27185634,8752,8
843,42658731,16271,13785624,1312,8
1225,42671358,16272,14682375,1897,8
3318,42671385,16273,25618374,7579,8
1603,42671538,16274,15638274,2563,8
3327,42671583,16275,25638174,7603,8
4586,42671835,16276,35618274,12619,8
4588,42671853,16277,35628174,12643,8
1403,42673158,16278,14862375,2113,8
3320,42673185,16279,25618473,7581,8
1605,42673518,16280,15638472,2565,8
2179,42673581,16281,17483652,3947,8
4073,42673815,16282,27481653,8981,8
1767,42673851,16283,15837624,2806,8
1619,42675138,16284,15648273,2587,8
3335,42675183,16285,25648173,7627,8
1621,42675318,16286,15648372,2589,8
2136,42675381,16287,17384652,3827,8
3947,42675813,16288,27184653,8747,8
921,42675831,16289,13857624,1390,8
4706,42678135,16290,37281654,13901,8
4570,42678153,16291,35187624,12358,8
4012,42678315,16292,27381654,8861,8
1519,42678351,16293,15387624,2398,8
3941,42678513,16294,27183654,8741,8
626,42678531,16295,13587624,1078,8
2974,42681357,16296,24681375,6937,8
4741,42681375,16297,42681375,16297,4
3657,42681537,16298,26481375,8257,8
4717,42681573,16299,37518624,14062,8
4742,42681735,16300,42681735,16300,8
4598,42681753,16301,35718624,12742,8
3114,42683157,16302,24861375,7153,8
4714,42683175,16303,37481625,14020,8
4077,42683517,16304,27483615,8986,8
2178,42683571,16305,17483625,3946,8
4072,42683715,16306,27481635,8980,8
1685,42683751,16307,15738624,2686,8
3817,42685137,16308,26841375,8569,8
